"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url"
"AT&T - Charlotte, NC","5028","36.472","8.838","N/A","4117656","1479136","41137928","13620269","https://www.speedtest.net/result/c/26fb3237-ba8d-43cf-a713-6ab8fd27bbd3"
"Spirit Communications - Charlotte, NC","4211","36.418","10.319","0","3690489","1455220","35974112","10706512","https://www.speedtest.net/result/c/19f954e6-6078-4ee1-9040-bcc92ee071e7"
"AT&T - Charlotte, NC","5028","38.309","1.976","N/A","3240998","1487246","40680360","13917558","https://www.speedtest.net/result/c/d0315ee9-2d3c-42d3-bc71-b804a6f8e8a5"
"Comporium - Rock HIll, SC","12784","34.556","7.043","N/A","3413332","1443072","29678456","7908976","https://www.speedtest.net/result/c/ea129fe1-c379-462f-92ec-a85b1837796a"
"Spirit Communications - Charlotte, NC","4211","34.138","2.103","0","3406434","1457437","34193320","12008264","https://www.speedtest.net/result/c/b9843b77-aba3-4fb9-bdc2-c0d91478f9ed"
"AT&T - Charlotte, NC","5028","32.004","2.453","N/A","4254495","1516594","44460840","8530104","https://www.speedtest.net/result/c/c81b682b-ebb0-489a-93ce-1b15729bcd56"
"Comporium - Rock HIll, SC","12784","37.827","2.365","N/A","5109827","1453709","61283952","20508024","https://www.speedtest.net/result/c/e474c21a-1ed9-4a5b-a4f8-9f5f9d72f396"
"Spirit Communications - Charlotte, NC","4211","42.78","3.442","0","3422432","1415087","44731616","8480936","https://www.speedtest.net/result/c/4a1aff6d-a1ba-4ff6-b933-3b07fed2a1b0"
"AT&T - Charlotte, NC","5028","33.244","3.447","N/A","3953488","1468529","53290992","7773832","https://www.speedtest.net/result/c/b319c3d7-2767-4a20-b629-1f120edadfe5"
"Comporium - Rock HIll, SC","12784","30.904","2.628","N/A","3778559","1433903","45968456","6599984","https://www.speedtest.net/result/c/f4870006-0513-452d-ac45-3c43e3fcde27"
"Spirit Communications - Charlotte, NC","4211","35.372","2.737","0","3240600","1447071","26845920","5485024","https://www.speedtest.net/result/c/b5386263-acc6-4517-ad9e-f47451571811"
"AT&T - Charlotte, NC","5028","28.033","6.429","N/A","3309591","1485388","47459896","9465565","https://www.speedtest.net/result/c/ba7711e3-4eb4-45fb-904c-3c18cfbfdf18"
"Comporium - Rock HIll, SC","12784","34.109","5.596","N/A","3495523","1423896","43950608","5176600","https://www.speedtest.net/result/c/5a1dd847-1f70-467c-b424-d7703007a8e2"
